"street1","street2","decision"
"CASLEGATE","CASTLEGATE","1"
"PASADENA RD. A/K/A 228 NORMANDY ST","SAINT EDWARD","0"
"LAMPSON","LAMSON","1"
"DYER STREET","RIVER STREET","0"
"BISHOP JOE L. SMITH WAY","BISHOP JOE L SMITH","1"
"BUSNESS","BUSINESS","1"
"WALTNUT","WALNUT","1"
"KESINGTON","KENSINGTON","1"
"CHALLENDER","CALLENDER","1"
"HOMSTEAD","HOMESTEAD","1"
"BROOKLDGE","BROOKLEDGE","1"
"BROOKLLEDGE","BROOKLEDGE","1"
"DRMMOND","DRUMMOND","1"
"OLD INONSIDES","GLENSIDE","0"
"IRWIN STREET","CORDIS STREET","0"
"NEWBURY STREET","PEARL STREET","0"
"BEVER","SEVER","0"
"TOPLOFF","TOPLIFF","1"
"SHADON","SHANDON","0"
"DEWIT","DEWITT","1"
"BOWER STREET BOSTON MA","CHARLES STREET SOUTH","0"
"CENTRE STREET G1 BOSTON MA","CENTRE STREET","1"
"ROSECLAIRE","ROSECLAIR","1"
"O&#039;CALLAGHAM","CHATHAM","0"
"VF","F","0"
"SELTON","SEXTON","0"
"MSGE. LYDON","SHELDON","0"
"CHARLEME","CHARLAME","1"
"FANUEUIL","FANEUIL","1"
"WILDWOOD STREET","COOK STREET","0"
"WASHUSETT","WACHUSETT","1"
"FAQUHAR","FARQUHAR","1"
"EATON","ELTON","0"
"A ADAMS","ADAMS","1"
"REAR RIVER","SEA VIEW","0"
"WITCHITA","WICHITA","1"
"DUDLEYQ","DUDLEY","1"
"A LINDEN","LINDEN","1"
"ALBERMARIE","ALBEMARLE","1"
"OWENS","OWEN","1"
"FREEMONT","FREMONT","1"
"A AGUADILLA","AGUADILLA","1"
"O&#039;CALLAHAN","GALLIVAN","0"
"WAGON","WABON","0"
"A BOWDOIN","BOWDOIN","1"
"QINCY","QUINCY","1"
"BARLETT","BARTLETT","1"
"TOPLIFT","TOPLIFF","1"
"NIGHTINGLE","NIGHTINGALE","1"
"DONUBE","DANUBE","1"
"DAMUBE","DANUBE","1"
"PIER","PINE","0"
"HUBBARDSTONE","HUBBARDSTON","1"
"TERRANCE","TERRACE","1"
"HOMWS","HOMES","1"
"HUTCHING","HUTCHINGS","1"
"LYONS","LYON","1"
"SHUBERT","SCHUBERT","1"
"ARMONDINE","ARMANDINE","1"
"NAUSSAU","NASSAU","1"
"MASSACHUSSETTS","MASSACHUSETTS","1"
"SPEEDWALL","SPEEDWELL","1"
"IRONSIDES","BROOKSIDE","0"
"MADISON PARK COURT","GARDEN COURT","0"
"BULE HILL","BLUE HILL","1"
"/2 DOVE","DOVE","1"
"ROBINSON STREET FIRST LF &AMP; 1MD","NEPONSET FIELD","0"
"CRRESTON","CRESTON","1"
"B HAYNES","HAYNES","1"
"B ADAMS","ADAMS","1"
"HIGH CREST","HILLCREST","0"
"WOOLFSON","WOOLSON","1"
"BROOK MARSHALLS","BROOK MARSHALL","1"
"INTEERVALE","INTERVALE","1"
"ROCKINGHAM GLEN 4107 WEST","ROCKINGHAM","1"
"WEST DEHAM","WEST DEDHAM","1"
"ASTICON","ASTICOU","1"
"B GREENWOOD","GREENWOOD","1"
"SCOTFIELD","SCOTTFIELD","1"
"HOODHAVEN","WOODHAVEN","1"
"BELFLOWER","BELLFLOWER","1"
"XENSINGTON","KENSINGTON","1"
"CEDAR STREET (REAR","MEAD STREET","0"
"- B WORCESTER","WORCESTER","1"
"A TRULL","TRULL","1"
"PIER FOUR, BLVD","HEREFORD","0"
"CLAVES","CLEAVES","1"
"- 11 BRINSLEY","BRINSLEY","1"
"BELLVISTA ROAD","BELLVISTA","1"
"GANEVA","GENEVA","1"
"CRESTAN","CRESTON","1"
"FIDELIS WAY, C-50 AKA 803 JETTE","FIDELIS WA","1"
"FESENDEN","FESSENDEN","1"
"MOUNT PLEASAT","MOUNT PLEASANT","1"
"WALLFORD","ALFORD","0"
"SEDGEWICK","SEDGWICK","1"
"GLADESLIDE","GLADESIDE","1"
"JUSTINIAN","JUSTIN","0"
"WIBLERT","WILLET","0"
"COLUMNUS","COLUMBUS","1"
"FARGUAR","FARRAR","0"
"TALNOT","TALBOT","1"
"BURNSWICK","BRUNSWICK","1"
"ROSSETTER","ROSSETER","1"
"KINSTON","KINGSTON","1"
"DELLA","DELLE","1"
"LOUIS D. BROWNWAY","LOUIS D BROWN","1"
"NO. BEACON","NORTH BEACON","1"
"ADMAS","ADAMS","1"
"DUNABE","DANUBE","1"
"WOODLOBE","WOODSIDE","0"
"HAMDEN","HAMPDEN","1"
"HOPSWELL","HOPEWELL","1"
"AMORTY","AMORY","1"
"HIGGHLAND","HIGHLAND","1"
"B REGIS","REGIS","1"
"SHERIDIAN","SHERIDAN","1"
"B SAN JUAN","SAN JUAN","1"
"WEBBER","WEBSTER","0"
"FOTTER","FOSTER","1"
"COMMONWEALTH AVENUE","COMMONWEALTH","1"
"B WASHINGTON","WASHINGTON","1"
"HOMETEAD","HOMESTEAD","1"
"HASTING","HASTINGS","1"
"ANGEL","ANSEL","0"
"BLUE HIL","BLUE HILL","1"
"COMMONWEALTTH","COMMONWEALTH","1"
"OLDS FIELDS","OLDFIELDS","1"
"HORDON","GORDON","1"
"KEARSAGE","KEARSARGE","1"
"FIDELIS WAY AKA 932  JETTE","FIDELIS WA","1"
"HARRISHOFF STREET SECOND 2&AMP;3RD","CHARLES STREET SOUTH","0"
"MCLELLLAN","MCLELLAN","1"
"ELMBHURST","ELMHURST","1"
"BOYSLTON","BOYLSTON","1"
"BILL HILL","BLUE HILL","0"
"MERCEDES VIEW","CRESTVIEW","0"
"NORTH BEACONS","NORTH BEACON","1"
"NORTH FANEUIL","NORTH MARGIN","0"
"WALTHAN","WALTHAM","1"
"EAST BERKLEY","EAST BERKELEY","1"
"F HARRISON","HARRISON","1"
"PARRIS","PARIS","1"
"DUNLOP","DUNLAP","1"
"REGIA","REGINA","1"
"VILMORE","WILMORE","1"
"WEAEVR","SEAVER","0"
"A ALBION","ALBION","1"
"BULLATD","BULLARD","1"
"WILLOWWOOOD","WILLOWWOOD","1"
"STRATTTON","STRATTON","1"
"PARK HILL","PARKER HILL","0"
"OSMOND","ESMOND","1"
"DIXELL","DIXWELL","1"
"WASSHINGTON","WASHINGTON","1"
"HUMPHRIES","HUMPHREYS","1"
"B SOUTHERN","SOUTHERN","1"
"HYDWE PARK","HYDE PARK","1"
"COLUMBIOA","COLUMBIA","1"
"ROCKINGHAM GLEN - 4510 WEST","ROCKINGHAM","1"
"HALLEM","HALLAM","1"
"EAST BROAWAY","EAST BROADWAY","1"
"THORTON","THORNTON","1"
"CHARLESGATE WEST 612PL","CHARLES STREET SOUTH","0"
"GAGE","PAGE","0"
"CLEMINTINE","CLEMENTINE","1"
"FIDELIS WAY C-127 AKA 920 JETTE","FIDELIS WA","1"
"HIGHVIEW","HIGH VIEW","1"
"BRYANDYWNE","ARMANDINE","0"
"WEBSTRET","WEBSTER","1"
"EASTABROOK","ESTABROOK","1"
"WOODRUFFF","WOODCLIFF","0"
"WALSH","WALL","0"
"MASSACHUSETTE","MASSACHUSETTS","1"
"SEAVER STREET","SALEM STREET","0"
"LYDON","LYON","0"
"SAQNDPIPER","FAN PIER","0"
"HARTWELL SUITE","HARTWELL","1"
"EAST LENNOX","EAST LENOX","1"
"BRICKNELL","BICKNELL","1"
"ROCKINGHAM GLEN 4411 WEST","ROCKINGHAM","1"
"MASSACHUSTTES","MASSACHUSETTS","1"
"CANTERBURRY","CANTERBURY","1"
"GLEN HILL","GLENHILL","1"
"FULLER STREET","HULL STREET","0"
"BETHOVEN","BEETHOVEN","1"
"ALVIN","ALVAN","0"
"SHAMUT","SHAWMUT","1"
"EAST BROADWAY SIDEWALK","EAST BROADWAY","1"
"ONLEY","OLNEY","1"
"WEST BROADWAY PENTHOUSE","WEST BROADWAY","1"
"SAINT WILLIAMS","SAINT WILLIAM","1"
"CLAYMONT TERRACE, #2, AKA 16-20 CLAYMONT","MSGR PATRICK J LYDON","0"
"JULIEN","JULIAN","1"
"BINSLEY","BRINSLEY","1"
"WALK HILL STREET, #2, FIRST DOOR ON LEFT","WHITE STREET","0"
"BERAN","BERAM","1"
"TOURQUOISE","TORPIE","0"
"FIDELIS WAY C-53 AKA 806 JETTE","FIDELIS WA","1"
"RICHFEILD","RICHFIELD","1"
"PETERBOROGGH","PETERBOROUGH","1"
"PATERBOROUGH","PETERBOROUGH","1"
"HEMEWAY","HEMENWAY","1"
"FASSENDEN","FESSENDEN","1"
"HIHGLAND","HIGHLAND","1"
"WHIFIELD","WHITFIELD","1"
"C MCGREEVEY","MCGREEVEY","1"
"LITHWON","LITHGOW","0"
"WASHINNGTON","WASHINGTON","1"
"BRADLER","BRADLEE","1"
"MONADOCK","MONADNOCK","1"
"BRADLEE STREET, APT","SALEM STREET","0"
"INVERVALE","INTERVALE","1"
"CLAREDON","CLARENDON","1"
"MARGARETA","MARGARET","0"
"LINSKY BARRY","LIBERTY","0"
"M.L.K","MILK","0"
"PETRBOROUGH","PETERBOROUGH","1"
"GLALLIVAN","GALLIVAN","1"
"WHEATLY","WHEATLEY","1"
"NEOPONSET","NEPONSET","1"
"GAYHEAD","GAY HEAD","1"
"LEO M. BIRMINGHAM","LEO M BIRMINGHAM","1"
"M M BEATTY","WM C KELLY","0"
"LINDLEY","LINLEY","1"
"FLORENCE STREET COMDOMINIUM","CHARLES STREET SOUTH","0"
"ADADEMY","ADAMS","0"
"CHENNEY","CHENEY","1"
"MASSACHUSSETS","MASSACHUSETTS","1"
"FAYWOOOD","FAYWOOD","1"
"HARRIHOF","HARRISHOF","1"
"MONSEIGNOR LYDON","ROSE GARDEN","0"
"ELKLO","ELKO","1"
"HAMMON","HAMMOND","1"
"MONGSINOR LYDON","KENSINGTON","0"
"A BELLEVUE","BELLEVUE","1"
"LINCOIN","LINCOLN","1"
"BISMACK","BISMARCK","1"
"/2 RIVER","RIVER","1"
"D NORTH HARVARD","NORTH HARVARD","1"
"TIBBETSONTOWN","TILESTON","0"
"MORTON VILLGE","MORTON VILLAGE","1"
"MARGETTA","MARTHA","0"
"DUDKEY","DUDLEY","1"
"ROXVBURY","ROXBURY","1"
"SOUTH TOWER ,CHARLES","SAINT CHARLES","0"
"FAIRLWAN","FAIRLAWN","1"
"SELDON","WELDON","0"
"NEPOSENT VALLEY","NEPONSET VALLEY","1"
"INDEPENDANCE","INDEPENDENCE","1"
"A JUNE","JUNE","1"
"CURRUTH","CARRUTH","1"
"QUEENSBERY","QUEENSBERRY","1"
"CASTLE GATE","CASTLEGATE","1"
"ROCKINGHAM GLEN 4208 WEST","ROCKINGHAM","1"
"KENNABEE","KENNEBEC","1"
"BICHNELL","BICKNELL","1"
"N.CHARLAME","CHARLAME","1"
"LATAURE","LAUREL","0"
"FEDELIS","FIDELIS","1"
"ST.ALPHONSUS","SAINT ALPHONSUS","1"
"HALLMAN","HALLAM","0"
"EAST SECOND STREET SECOND &AMP","CHARLES STREET SOUTH","0"
"OYSTERV BAY","SOUTH BAY","0"
"SOUTH HUNTINGTON HILL","SOUTH HUNTINGTON","1"
"PETEROROUGH","PETERBOROUGH","1"
"ALGPMQUIN","ALGONQUIN","1"
"CASTELLO","CASTLE","0"
"GOUSE","GROUSE","1"
"EDESON","EDSON","1"
"16A TIBBETSTOWN","TILESTON","0"
"COMMONWEATH","COMMONWEALTH","1"
"VALLLAR","VALLARO","0"
"CASTLEGATE THIRD ROOM","CASTLEGATE","1"
"CATLEGATE","CASTLEGATE","1"
"CUMMING","CUMMINGS","1"
"BAYSTATE","BAY STATE","1"
"/51 NORFOLK","NORFOLK","1"
"CORNELLA","CORNELL","0"
"C SLAYTON","CLAYTON","0"
"GOODGATE","GOODALE","0"
"COLLIN","COLLINS","1"
"CORONA STREET","COOK STREET","0"
"LONON","LONDON","1"
"MCLELLEN","MCLELLAN","1"
"DARMOUTH","DARTMOUTH","1"
"MASSOSIAT","MASSASOIT","1"
"A WEST BROOKLINE","WEST BROOKLINE","1"
"METROPOLITIAN","METROPOLITAN","1"
"LOMGFELLOW","LONGFELLOW","1"
"BANKCROFT","BANCROFT","1"
"MSGR.REYNOLDS","MSGR REYNOLDS","1"
"MSGR. PATRICK J. LYDON","MSGR PATRICK J LYDON","1"
"A SHAWMUT","SHAWMUT","1"
"WAVON","AVON","1"
"SHERIDIDAN","SHERIDAN","1"
"DADNEY","DABNEY","1"
"COLOMBUS","COLUMBUS","1"
"ROCKINGHAM GLEN 4106 WEST","ROCKINGHAM","1"
"ROCKINGHAM GLEN 4302 WEST","ROCKINGHAM","1"
"PARK WEST","PARKER","0"
"JOYCE HAYNES","JOYCE KILMER","0"
"NORTH BEAON","NORTH BEACON","1"
"MASSACHUETTS","MASSACHUSETTS","1"
"ANNAFRAN STREET","PEARL STREET","0"
"O&#039;MEARA CT., APT","MEAD STREET","0"
"A CORNELL","CORNELL","1"
"CAMBRDIGE","CAMBRIDGE","1"
"CRAIGHTON","CREIGHTON","1"
"POWELTON","POWELLTON","1"
"CROWLEY  ROGERS","CHARLES RIVER","0"
"B PAUL","BALL","0"
"PETERBOROROUGH","PETERBOROUGH","1"
"EDMOND","ESMOND","1"
"A CUMMINS","CUMMINS","1"
"O-BRIEN","ORIENT","0"
"WOODHOLE","WOODDALE","0"
"STRATTON EXT","STRATTON","1"
"TAFT HILL","TAFTHILL","1"
"D CUMMINS","CUMMINS","1"
"ORTON MAROTTA TURNPIKE","ORTON MAROTTA","1"
"D WEST BROADWAY","WEST BROADWAY","1"
"MELBORNE","MELBOURNE","1"
"ROXANNA","ROXANA","1"
"CRESENT","CRESCENT","1"
"CORWELL","NORWELL","0"
"HANES","HAYNES","1"
"ROSSTER","ROSSETER","1"
"ALBERMARLE","ALBEMARLE","1"
"FATHER FRANCIS GILDAY","FR FRANCIS GILDAY","1"
"MASSSACHUSETTS","MASSACHUSETTS","1"
"FOLSUM","FOLSOM","1"
"B REGENT","REGENT","1"
"METROPLITAN","METROPOLITAN","1"
"EAST AMORY","EAST THIRD","0"
"BREMAN","BREMEN","1"
"REAR WALK HILL","WALK HILL","0"
"O&#039;BRIENE","ORIENT","0"
"ANDREW","ANDRIA","0"
"MELLON","MALLON","0"
"B DUNMORE","DUNMORE","1"
"PONG","POND","0"
"DVISON","DAVISON","1"
"A BLUE HILL","BLUE HILL","1"
"PLUMMER","SUMMER","0"
"ALLSTON STREET (REAR","WHITE STREET","0"
"IROQUIOS","IROQUOIS","1"
"GEORGRETOWNE","GEORGETOWNE","1"
"CROW POINT","CITY POINT","0"
"ALONGONQUIN","ALGONQUIN","1"
"TREONT","TREMONT","1"
"MOSLEY","MORLEY","0"
"A FOREST","FOREST","1"
"CAMRON","CAMERON","1"
"WILLIAM T. MORRISSEY","WM T MORRISSEY","1"
"DUNUBE","DANUBE","1"
"KITTERIDGE","KITTREDGE","1"
"SEAVER STREET FIRST &AMP","SALEM STREET","0"
"PAMA GARDENS","ROSE GARDEN","0"
"DECATURE","DECATUR","1"
"NORLOK","NORFOLK","0"
"ELMOT","ELIOT","0"
"HAMPTON","HAMILTON","0"
"HIGHLANDS","HIGHLAND","1"
"C ST.ALPHONSUS","SAINT ALPHONSUS","1"
"COURTLAND ROAD 1, SECOND &AMP","NORTH ANDERSON","0"
"A MAGNOLIA","MAGNOLIA","1"
"PETERSBOROUGH","PETERBOROUGH","1"
"LONDSDALE","LONSDALE","1"
"BLUE  HILL","BLUE HILL","1"
"MANSCHESTER","MANCHESTER","1"
"EDGEMER","EDGEMERE","1"
"ATHELWOOD","ATHELWOLD","1"
"HAMEDEN","HAMPDEN","0"
"WESCOTT","WESTCOTT","1"
"NO.BEACON","BEACON","1"
"NEWPONSET VALLEY","NEPONSET VALLEY","1"
"RESSETER","ROSSETER","1"
"KINGDALE","KINGSDALE","1"
"ROSSELIN","ROSSELERIN","0"
"WOSDRWORTH","WORDSWORTH","1"
"ROCKINGHAM GLEN-4205 WEST","ROCKINGHAM","1"
"DUNNING","MANNING","0"
"WOODOLEDGE","WOODLEDGE","1"
"COLUMUS","COLUMBUS","1"
"COMMONEALTH","COMMONWEALTH","1"
"LONFELLOW","LONGFELLOW","1"
"A DIMOCK","DIMOCK","1"
"BOARDER","BORDER","1"
"MOUNTAIN PLEASANT","MOUNT PLEASANT","1"
"WASHIGNTON","WASHINGTON","1"
"A DUNSTABLE","ALLSTATE","0"
"B BROOK","BROOK","1"
"COMMINS","CUMMINS","1"
"BOLYSTON","BOYLSTON","1"
"MCGAVIN","MAIN","0"
"VALLER","VALLEY","0"
"RITCHFIELD","RICHFIELD","1"
"A WALNUT","WALNUT","1"
"ADAMS STREET, REAR BASEMENT APT FIRST LEFT","MSGR ALBERT A JACOBBE","0"
"EAST FRANKFORT","FRANKFORT","1"
"GREENBOUGH","GREENOUGH","1"
"POPLARZ","POPLAR","1"
"CRAIGMERE","CRAGMERE","1"
"MISSION DRIVE","MISSION","1"
"EAST MAIN","EASTMAN","1"
"OLD CONOLY","OLD COLONY","1"
"COMMANDANTS","COMMONWEALTH","0"
"M.L.K.","MILK","0"
"BOOKLEDGE","BROOKLEDGE","1"
"BOWBOIN","BOWDOIN","1"
"O&#039; CALLAGHAN","ALLEGHANY","0"
"NORTHSHORE","PERTHSHIRE","0"
"VAUGHN","VAUGHAN","1"
"O&#039; CALLAGHAN TURNPIKE","REV RICHARD A BURKE","0"
"DAVID MUGAR","DAVID G MUGAR","1"
"OLDFIELD","OLDFIELDS","1"
"WILLLOW","WILLOW","1"
"CD CLARENCE","CLARENCE","1"
"A-D CLARENCE","CLARENCE","1"
"BOWBIN","BOWDOIN","1"
"PETERSBORUGH","PETERBOROUGH","1"
"ARCHIDALE","ARCHDALE","1"
"DEERLING","DEERING","1"
"MCULLAN","MCLELLAN","1"
"POST NORFOLK","PORT NORFOLK","1"
"SCOTTFILED","SCOTTFIELD","1"
"EUTIS","EUSTIS","1"
"NAHANAT","NAHANT","1"
"HEMINGTON","REMINGTON","0"
"CUNNIGHAM","CUNNINGHAM","1"
"WALNUT STREET SECOND (CONDO","CHARLES STREET SOUTH","0"
"CRISPUS ATTUICKS","CRISPUS ATTUCKS","1"
"B HOWARD","HOWARD","1"
"WASINGTON","WASHINGTON","1"
"LYNN","LYON","0"
"EAST EAST SPRINGFIELD","EAST SPRINGFIELD","1"
"NORTH NORTH BEACON","NORTH BEACON","1"
"A GREW","GREW","1"
"SAINT ALPHONSE","SAINT ALPHONSUS","1"
"CASTLEFATE","CASTLEGATE","1"
"MERRIMACK","MERRIMAC","1"
"REAR WASHINGTON","WASHINGTON","1"
"PERTERBOROUGH","PETERBOROUGH","1"
"HIAWATH","HIAWATHA","1"
"FANNEUIL","FANEUIL","1"
"ROCKINGHAM GLEN 4516 WEST","ROCKINGHAM","1"
"SHAWMUS","SHAWMUT","1"
"MASSACHUSETS","MASSACHUSETTS","1"
"NESPONSET","NEPONSET","1"
"GEORGRTOWNE","GEORGETOWNE","1"
"BRANNON","BRANTON","0"
"CUMMINGHAM","CUNNINGHAM","1"
"B OLD IRONSIDES","BROOKSIDE","0"
"SAINT ANDREWS","SAINT ANDREW","1"
"PADENA","PASADENA","1"
"SAINT . WILLIAMS","SAINT WILLIAM","1"
"MASSACHUSETTES","MASSACHUSETTS","1"
"POMPELI","POMPEII","1"
"MARCELLS","MARCELLA","1"
"COMMONERALTH","COMMONWEALTH","1"
"CHESTERON","CHESTERTON","1"
"MOUNT PLEASENT","MOUNT PLEASANT","1"
"SPENCER STREET","CENTRE STREET","0"
"SENDER","SENDERS","1"
"ANNABELL","ANNABEL","1"
"GEORETOWNE","GEORGETOWNE","1"
"B CHICKATAWBUT","CHICKATAWBUT","1"
"/2 GEORGE","GEORGE","1"
"BELLVUE","BELLEVUE","1"
"CUMMMINS","CUMMINS","1"
"METROPOLIAN","METROPOLITAN","1"
"B WESTMINSTER","WESTMINSTER","1"
"HOMESTEWAD","HOMESTEAD","1"
"NORTAMPTON","NORTHAMPTON","1"
"DRAPER DRAPER","DRAPER","1"
"MSSACHUSETTS","MASSACHUSETTS","1"
"BOWOIN","BOWDOIN","1"
"C PARKER","PARKER","1"
"GLANARM","GLENARM","1"
"SENATOR BOLLINGS","SENATOR BOLLING","1"
"D MEDFORD","MEDFORD","1"
"REAR LINDEN","CEDAR LANE","0"
"WOODVILLE STREET FLS 1,2 &AMP","WHITE STREET","0"
"` COMMONWEALTH","COMMONWEALTH","1"
"IFFLEY ROAD FIRST &AMP","CHARLES RIVER DAM","0"
"`` METROPOLITAN","METROPOLITAN","1"
"MCNULTY   STREET","HULL STREET","0"
"` PRESCOTT","PRESCOTT","1"
"WARREN STREET","WHITE STREET","0"
"WALNUT PARK","WEST PARK","0"
"ALPINE STREET THIRD (3RD","WHITE STREET","0"
"FREEPORT STREET","SHORT STREET","0"
"FIDELIS/ 932 JETTE COURT","CHARLES STREET SOUTH","0"
"HANSBOROUGH STREET","HANSBOROUGH","1"
"A EMERALD","EMERALD","1"
"FIDELIS WAY #B-95 AKA EIGHTH FIDELIS","FERMOY HEIGHTS","0"
"O&#039;BRIEN","OBRIEN","1"
"STAR KING","STARR KING","1"
"LIGHTOW","DIGHTON","0"
"OLD RUTHERFORD","NEW RUTHERFORD","0"
"TIBBETTSTOWN","TIBBETTS TOWN","1"
"MORRTON VILLAGE","MORTON VILLIAGE","1"
"WINDOR","WINDOM","0"
"TUFT","TUFTS","1"
"O&#039;REILLY","OREILLY","1"
"KINGBIRD","LINGARD","0"
"O&#039;BIERNE","OBIERNE","1"
"REVEREND BURKE","RIVERDALE","0"
"LEWIS MALL","LEWIS WHARF","0"
"SHANON","SHANNON","1"
"O&#039;CALLAGHAN","MSGR O'CALLAGHAN","1"
"CROWN POIN","CROWN POINT","1"
"SANDPIPER","SANGER","0"
"RABGLEY","LANGLEY","0"
"TIBBITSTOWN","TIBBETTS TOWN","1"
"DUSTABLE","DUNSTABLE","1"
"OSPREY","SURREY","0"
"JAMES O&#039;NEILL","JAMESTOWN","0"
"MAGNOLIA STREET","SCHOOL STREET","0"
"O&#039;MEARA","OMEARA","1"
"MSGR REYNOLDS","MONSIGNOR REYNOLDS","1"
"TAFTS","TUFTS","0"
"C VILLAGE","VILLAGE","1"
"SILVIA","SILVA","0"
"CRWON POINT","CROWN POINT","1"
"FARRADY","FARADAY","1"
"HOLBURN","COLBURN","0"
"PARSON","PARSONS","1"
"CARNET","CARNEY","1"
"SAINT CASMIR","SAINT CASIMIR","1"
"PASADENA RD. A/K/A 228 NORMANDY ST","PAMA GARDENS","0"
"OLD INONSIDES","OLD IRONSIDES","1"
"IRWIN STREET","RIVER STREET","0"
"BEVER","BEAVER","1"
"SHADON","SHARON","1"
"BOWER STREET BOSTON MA","RIVER STREET","0"
"MELNEA CASS","MOUNT ASH","0"
"O&#039;CALLAGHAM","MSGR O'CALLAGHAN","1"
"SELTON","MELTON","0"
"WILDWOOD STREET","POND STREET","0"
"EATON","EASTON","0"
"REAR RIVER","HARRIET","0"
"NEPONSET FIELD","NEPONSET VALLEY","0"
"O&#039;CALLAHAN","CALLAHAN","1"
"PIER","MINER","0"
"HAZLETON","HAZELTON","1"
"IRONSIDES","BRONSDON","0"
"MADISON PARK COURT","MADISON PARK","1"
"ROBINSON STREET FIRST LF &AMP; 1MD","SUNSET HILL PATH","0"
"HIGH CREST","HIGHCREST","1"
"CEDAR STREET (REAR","PEARL STREET","0"
"FIDELIS WAY, C-50 AKA 803 JETTE","AVE DE LAFAYETTE","0"
"WALLFORD","WALFORD","1"
"WIBLERT","WILBERT","1"
"FARGUAR","FARQUHAR","1"
"DELLA","ADELLA","0"
"LOUIS D. BROWNWAY","LOUIS PRANG","0"
"WOODLOBE","WOODBOLE","1"
"HAMDEN","CAMDEN","0"
"ANGEL","ANGELL","1"
"FIDELIS WAY AKA 932  JETTE","AVE DE LAFAYETTE","0"
"HARRISHOFF STREET SECOND 2&AMP;3RD","HARRISON AVE EXD","0"
"MERCEDES VIEW","OCEAN VIEW","0"
"PARRIS","HARRIS","0"
"WEAEVR","WEAVER","1"
"HALLEM","HARLEM","0"
"CHARLESGATE WEST 612PL","CHARLESGATE W","1"
"FIDELIS WAY C-127 AKA 920 JETTE","AVE DE LAFAYETTE","0"
"BRYANDYWNE","BRANDYWYNE","1"
"WOODRUFFF","WOODRUFF","1"
"SEAVER STREET","RIVER STREET","0"
"SAQNDPIPER","SAUNDERS","0"
"WALK HILL STREET, #2, FIRST DOOR ON LEFT","WILLIAM CARDINAL O'CONNELL","0"
"TOURQUOISE","TURQUOISE","1"
"FIDELIS WAY C-53 AKA 806 JETTE","AVE DE LAFAYETTE","0"
"M M BEATTY","MALBERT","0"
"FLORENCE STREET COMDOMINIUM","POND STREET","0"
"ADADEMY","ACADEMY","1"
"MONSEIGNOR LYDON","MONSIGNOR REYNOLDS","0"
"MONGSINOR LYDON","MONSIGNOR REYNOLDS","0"
"TIBBETSONTOWN","TIBBETTS TOWN","1"
"MORTON VILLGE","MORTON VILLIAGE","1"
"MARGETTA","MARGARETTA","1"
"WOODDALE","WOODALE","1"
"LATAURE","LANARK","0"
"HALLMAN","HOLMAN","0"
"EAST SECOND STREET SECOND &AMP","EAST SECOND","1"
"OYSTERV BAY","OYSTER BAY","1"
"CASTELLO","COSTELLO","1"
"16A TIBBETSTOWN","TIBBETTS TOWN","1"
"CORNELLA","CORNELIA","1"
"C SLAYTON","SLAYTON","1"
"GOODGATE","WOODGATE","1"
"PARK WEST","MARKET","0"
"JOYCE HAYNES","JOYCE HAYES","1"
"ANNAFRAN STREET","PLEASANT STREET","0"
"O&#039;MEARA CT., APT","PEARL STREET","0"
"CROWLEY  ROGERS","CROWLEY ROGERS","1"
"B PAUL","PAUL","1"
"O-BRIEN","OBRIEN","1"
"WOODHOLE","WOODBOLE","0"
"CORWELL","COLWELL","0"
"FATHER FRANCIS GILDAY","FATHER SONGIN","0"
"O&#039;BRIENE","OBRIEN","1"
"MELLON","MELTON","0"
"PONG","LONG","0"
"ALLSTON STREET (REAR","HULL STREET","0"
"CROW POINT","CROWN POINT","1"
"WILLIAM T. MORRISSEY","WILLIAM T MORRISSEY","1"
"SEAVER STREET FIRST &AMP","RIVER STREET","0"
"COURTLAND ROAD 1, SECOND &AMP","CHARLES RIVER DAM","0"
"ROSSELIN","ROSLIN","1"
"OLD IRONSIDE","OLD IRONSIDES","1"
"A DUNSTABLE","DUNSTABLE","1"
"MCGAVIN","GAVIN","0"
"VALLER","VALLAR","1"
"RITCHFIELD","LITCHFIELD","0"
"MISSION DRIVE","MISSION PARK","0"
"O&#039; CALLAGHAN","MSGR O'CALLAGHAN","1"
"O&#039; CALLAGHAN TURNPIKE","MSGR O'CALLAGHAN","1"
"ALWIN","ALDWIN","0"
"GARDEN COURT","HARCOURT","0"
"WALNUT STREET SECOND (CONDO","EAST SECOND","0"
"B OLD IRONSIDES","OLD IRONSIDES","1"
"PADENA","GARDENA","0"
"SENDER","PENDER","0"
"DRAPER DRAPER","DRAPPER","0"
"SENATOR BOLLINGS","ROLLINS","0"
"REAR LINDEN","LINDEN","0"
"LANE","LAKE","0"
"WOODVILLE STREET FLS 1,2 &AMP","CORDIS STREET","0"
"IFFLEY ROAD FIRST &AMP","LEO M BIRMINGHAM","0"
"WARREN STREET","SALEM STREET","0"
"ALPINE STREET THIRD (3RD","POND STREET","0"
"FIDELIS/ 932 JETTE COURT","DESIGN CENTER","0"
"HANSBOROUGH STREET","CAMBRIDGE STREET","0"
