"street1","street2","decision"
"KENNILWORTH","KENILWORTH","1"
"HOLWORHTY","HOLWORTHY","1"
"LOUIS D. BROWN","LOUIS D BROWN","1"
"B ANNUNCIATION","ANNUNCIATION","1"
"GENERAL DEVINE","GEN WM H DEVINE","1"
"OLD LANDING","LOWLAND","0"
"THE RIVERWAY","RIVERWAY","1"
"JANAICAWAY","JAMAICAWAY","1"
"MAROTTA","MARTHA","0"
"AGAUDILLA","AGUADILLA","1"
"NIGHTENGALE","NIGHTINGALE","1"
"ROSSITER","ROSSETER","1"
"RUTHLAND","RUTLAND","1"
"EDGELEY","EDGERLY","1"
"ROSE","ROSS","0"
"WEST SELDON","WEST SELDEN","1"
"FENWWOD","FENWOOD","1"
"- SEVENTH FOREST HILLS","FOREST HILLS","1"
"EAST BROADWAY 1&AMP;2R","EAST BROADWAY","1"
"HAVARD","HARVARD","1"
"QUEENSBURY","QUEENSBERRY","1"
"NORTH POINT","NORTH QUINCY","0"
"GLENBOURNE","GLENBURNE","1"
"BETHUNE","NEPTUNE","0"
"WAREICK","WARWICK","1"
"BOARD","BARD","0"
"BOTOLPH","BOLTON","0"
"WOODRAW","WOODROW","1"
"OMEARA","OLEARY","0"
"RIDG","RIDGE","1"
"CALENDER","CALLENDER","1"
"A MELVILLE","MELVILLE","1"
"JOE L. SMOTIH","GOLDSMITH","0"
"WEST BARK","WEST PARK","1"
"ELLET","EMMET","0"
"WEATLEY","WHEATLEY","1"
"PLANT","PLANET","0"
"BRANNON HARRIS","SAINT MARTIN","0"
"DITMUS","PRIMUS","0"
"NORTHAMPTION","NORTHAMPTON","1"
"R WASHINGTON","WASHINGTON","1"
"A WESTVIEW","CRESTVIEW","0"
"RIGEVIEW","RIDGEVIEW","1"
"EASTBROOK","ESTABROOK","1"
"ARIVER","RIVER","1"
"A COLUMBUS","COLUMBUS","1"
"F AMES","JAMES","0"
"FENWICK","BERWICK","0"
"HUNGTINGTON","HUNTINGTON","1"
"CHARLESGATE WEST","CHARLESGATE","1"
"NEWBERRY","NEWBURY","1"
"BORDER E","BORDER","1"
"SPRINGFIELD","PINEFIELD","0"
"ESPINWALL","ASPINWALL","1"
"CONNELL","OCONNELL","1"
"CAMRIDGE","CAMBRIDGE","1"
"EAST SPRINGFILED","EAST SPRINGFIELD","1"
"ISLAND VIEW","SEA VIEW","0"
"VESTER","LESTER","0"
"P ANNUNCIATION","ANNUNCIATION","1"
"D WESTVIEW","CRESTVIEW","0"
"B AMES","JAMES","0"
"I AMES","JAMES","0"
"ORTON","MORTON","0"
"MARY MOORE BEATTY","DR MARY M BEATTY","1"
"LINSKEY BARRY","ROSEBERRY","0"
"HARRISON ARCHWAYS","HARRISON AV XT","0"
"PAUL","PAULA","0"
"V ANNUNCIATION","ANNUNCIATION","1"
"J ANNUNCIATION","ANNUNCIATION","1"
"MSGR PATRICK LYDON","MSGR PATRICK J LYDON","1"
"FAYTON","FAYSTON","1"
"WESTMINTER","WESTMINSTER","1"
"CROWNE POINT","CITY POINT","0"
"HORADON","HORAN","0"
"MCGREEVY","MCGREEVEY","1"
"A PARKER","PARKER","1"
"1/2 CRAWFORD","CRAWFORD","1"
"HUNTINGON","HUNTINGTON","1"
"UPHAMS","UPHAM","1"
"FANNDALE","FAWNDALE","1"
"STANFORD","STANIFORD","1"
"L ANNUNCIATION","ANNUNCIATION","1"
"REVERE BEACH","REVERE","1"
"REESDALE","REEDSDALE","1"
"BAKER&#039;S","BAKERS AL","1"
"OYSTER BAY","SOUTH BAY","0"
"SAINT MARY&#039;S","SAINT MARYS","1"
"CHESNUT HILL","CHESTNUT HILL","1"
"MSGR LYDON","GRAYSON","0"
"STRATHCON","STRATHCONA","1"
"D ANNUNCIATION","ANNUNCIATION","1"
"G ANNUNCIATION","ANNUNCIATION","1"
"Q ANNUNCIATION","ANNUNCIATION","1"
"HUMBDOLT","HUMBOLDT","1"
"JOE L. SMITH","GOLDSMITH","0"
"LAURENCE","LAWRENCE","1"
"H ANNUNCIATION","ANNUNCIATION","1"
"K ANNUNCIATION","ANNUNCIATION","1"
"Y RUGGLES","RUGGLES","1"
"KITTEREDGE","KITTREDGE","1"
"HUMPHRYS","HUMPHREYS","1"
"WASHINTON","WASHINGTON","1"
"M.M. BEATTY","PEMBERTON","0"
"CHRISPUS ATTUCKS","CRISPUS ATTUCKS","1"
"WLLINGTON HILL","WELLINGTON HILL","1"
"BRANDYWYNE","BALDWIN","0"
"WESTWIND","WESTLAND","0"
"N.BEACON","BEACON","1"
"B DUDLEY","DUDLEY","1"
"ZIEGLER","ZEIGLER","1"
"MSGR PJ LYDON","MSGR PATRICK J LYDON","1"
"MARLBORO","MARLBOROUGH","1"
"GEORGETWONE","GEORGETOWNE","1"
"F RUGGLES","RUGGLES","1"
"C SOUTH","SOUTH","1"
"KENDELL","WENDELL","0"
"DROCHESTER","DORCHESTER","1"
"OCEAN VIEW","SEA VIEW","0"
"WEST BROADWAY THIRD SOUTH","WEST BROADWAY","1"
"MISSION OARJ","MISSION","1"
"FORSET HILLS","FOREST HILLS","1"
"SHAWMUTT","SHAWMUT","1"
"WHITNEY","WHITBY","0"
"HAMMOMD","HAMMOND","1"
"MONSIGNOR PATRICK J. LYDON","MSGR PATRICK J LYDON","1"
"FAIRMONT","FAIRMOUNT","1"
"OLDSFIELDS","OLDFIELDS","1"
